Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
1,Abhay Kumar Ashok,DHARAMSHALA,IND,0,Post Graduate,"Rs 97,40,093
~ 97 Lacs+","Rs 0
~"
2,Abhinay Bhardwaj,HAMIRPUR,Rashtriya Devbhumi Party,0,Graduate,"Rs 5,42,477
~ 5 Lacs+","Rs 2,50,000
~ 2 Lacs+"
3,Abhishek Barowalia,SHIMLA,IND,0,Graduate Professional,"Rs 29,54,391
~ 29 Lacs+","Rs 3,50,707
~ 3 Lacs+"
4,Abhishek Singh,SHAHPUR,AAP,0,12th Pass,"Rs 65,59,12,561
~ 65 Crore+","Rs 1,07,88,644
~ 1 Crore+"
5,Abhishek Thakur,SUNDERNAGAR,IND,0,Graduate Professional,"Rs 7,63,01,043
~ 7 Crore+","Rs 4,16,16,505
~ 4 Crore+"
6,Adv. Sanjay Sharma,FATEHPUR,IND,0,Graduate Professional,"Rs 1,68,10,785
~ 1 Crore+","Rs 0
~"
7,Ajay Kumar,BAIJNATH (SC),BSP,1,Others,"Rs 20,25,000
~ 20 Lacs+","Rs 3,43,500
~ 3 Lacs+"
8,Ajay Mahajan,NURPUR,INC,0,Graduate,"Rs 13,89,36,443
~ 13 Crore+","Rs 2,29,82,393
~ 2 Crore+"
9,Ajay Shyam,THEOG,BJP,0,Post Graduate,"Rs 59,60,505
~ 59 Lacs+","Rs 4,87,672
~ 4 Lacs+"
10,Ajay Singh,PACHHAD (SC),AAP,0,Graduate,"Rs 85,19,900
~ 85 Lacs+","Rs 6,00,000
~ 6 Lacs+"
11,Ajay Solanki,NAHAN,INC,2,12th Pass,"Rs 1,18,63,806
~ 1 Crore+","Rs 0
~"
12,Amar Chand,MANALI,Rashtriya Devbhumi Party,1,Graduate Professional,"Rs 1,07,37,418
~ 1 Crore+","Rs 4,00,000
~ 4 Lacs+"
13,Amar Nath,JHANDUTA (SC),BSP,0,10th Pass,"Rs 2,20,87,458
~ 2 Crore+","Rs 13,00,000
~ 13 Lacs+"
14,Amar Nath,BILASPUR,BSP,0,10th Pass,"Rs 14,81,42,298
~ 14 Crore+","Rs 13,00,000
~ 13 Lacs+"
15,Amar Singh,BILASPUR,AAP,1,Graduate,"Rs 9,69,45,400
~ 9 Crore+","Rs 5,50,000
~ 5 Lacs+"
16,Amit Mehta,THEOG,IND,0,Graduate Professional,"Rs 1,56,02,596
~ 1 Crore+","Rs 0
~"
17,Amit Verma,KANGRA,IND,1,12th Pass,"Rs 2,53,08,808
~ 2 Crore+","Rs 59,40,318
~ 59 Lacs+"
18,Amrita Chaudhry,BHATTIYAT,Hindu Samaj Party,0,12th Pass,"Rs 5,500
~ 5 Thou+","Rs 11,000
~ 11 Thou+"
19,Anil Kapoor,KINNAUR (ST),BSP,0,8th Pass,"Rs 4,40,140
~ 4 Lacs+","Rs 0
~"
20,Anil Kumar Mankotia,KUTLEHAR,AAP,2,Graduate,"Rs 67,28,000
~ 67 Lacs+","Rs 0
~"
21,Anil Rana,SUJANPUR,AAP,0,Graduate Professional,"Rs 55,34,550
~ 55 Lacs+","Rs 26,56,823
~ 26 Lacs+"
22,Anil Sharma,MANDI,BJP,0,Graduate,"Rs 57,48,41,205
~ 57 Crore+","Rs 68,27,489
~ 68 Lacs+"
23,Anirudh Singh,KASUMPTI,INC,4,Graduate,"Rs 10,20,93,247
~ 10 Crore+","Rs 6,77,80,000
~ 6 Crore+"
24,Anju,SOLAN (SC),AAP,0,Post Graduate,"Rs 2,38,37,697
~ 2 Crore+","Rs 3,00,000
~ 3 Lacs+"
25,Anurag Prarthi,MANALI,AAP,0,Graduate Professional,"Rs 3,73,13,000
~ 3 Crore+","Rs 1,63,50,000
~ 1 Crore+"
26,Arun Kumar,JAWALI,Himachal Jan Kranti Party,1,Graduate,"Rs 1,04,06,000
~ 1 Crore+","Rs 50,000
~ 50 Thou+"
27,Arun Kumar ( Kuka),NAGROTA,BJP,0,10th Pass,"Rs 2,06,60,181
~ 2 Crore+","Rs 15,34,601
~ 15 Lacs+"
28,Asha Kumari,DALHOUSIE,INC,1,Graduate,"Rs 5,40,31,819
~ 5 Crore+","Rs 32,94,708
~ 32 Lacs+"
29,Ashhwani Kumar Rana,HAROLI,Rashtriya Devbhumi Party,0,10th Pass,"Rs 1,81,50,000
~ 1 Crore+","Rs 0
~"
30,Ashish Butail,PALAMPUR,INC,0,Graduate,"Rs 30,25,22,481
~ 30 Crore+","Rs 7,64,31,200
~ 7 Crore+"
31,Ashish Kumar,HAMIRPUR,IND,0,Graduate Professional,"Rs 7,440
~ 7 Thou+","Rs 0
~"
32,Ashish Kumar,PACHHAD (SC),CPI(M),0,Post Graduate,"Rs 16,16,036
~ 16 Lacs+","Rs 0
~"
33,Ashish Sharma,SHAHPUR,Hindu Samaj Party,0,10th Pass,"Rs 10,59,604
~ 10 Lacs+","Rs 25,000
~ 25 Thou+"
34,Ashish Sharma,HAMIRPUR,IND,0,Graduate Professional,"Rs 13,60,06,025
~ 13 Crore+","Rs 48,53,091
~ 48 Lacs+"
35,Ashok Kumar,CHOPAL,IND,0,Graduate,"Rs 12,20,000
~ 12 Lacs+","Rs 0
~"
36,Ashok Kumar Bakaria,DALHOUSIE,Rashtriya Devbhumi Party,0,Graduate Professional,"Rs 70,53,000
~ 70 Lacs+","Rs 22,00,000
~ 22 Lacs+"
37,Ashwani Kumar,ROHRU (SC),AAP,0,Graduate,"Rs 8,00,000
~ 8 Lacs+","Rs 3,20,000
~ 3 Lacs+"
38,Ashwani Verma,PAONTA SAHIB,Rashtriya Devbhumi Party,0,Graduate,"Rs 1,47,18,620
~ 1 Crore+","Rs 0
~"
39,Attar Singh Chandel,THEOG,AAP,1,Doctorate,"Rs 9,95,96,564
~ 9 Crore+","Rs 23,50,000
~ 23 Lacs+"
40,Atul Kaushal,JAWALAMUKHI,IND,0,Graduate,"Rs 29,37,000
~ 29 Lacs+","Rs 50,000
~ 50 Thou+"
41,Ayodhya Prasad Verma,NAHAN,BSP,0,8th Pass,"Rs 1,09,01,000
~ 1 Crore+","Rs 0
~"
42,Baba Lal Giri,JOGINDERNAGAR,IND,0,Illiterate,"Rs 21,697
~ 21 Thou+","Rs 0
~"
